Time,Motor 0 Position,Motor 1 Poqsition,Motor 0 Torque,Motor 1 Torque,Force
2.646919192999121,0.014682590961456299,0.0012056231498718262,-0.08526938408613205,-0.0933132916688919,flight
2.6510754939990875,0.014688685536384583,0.0007538199424743652,-0.08082534372806549,-0.06814610958099365,flight
2.6551468529996782,0.014690637588500977,8.32676887512207e-05,-0.0899805799126625,-0.049554672092199326,flight
2.6593604119989322,0.014692366123199463,-0.0005797743797302246,-0.0858985036611557,-0.017022447660565376,flight
2.6636129889993754,0.014473393559455872,-0.0012698769569396973,-0.08549360185861588,-0.016764512285590172,flight
2.66852155199922,0.014091461896896362,-0.0018429160118103027,-0.07235349714756012,-0.0021204929798841476,flight
2.6731893609994586,0.013877242803573608,-0.0021587610244750977,-0.053333546966314316,0.0006365622393786907,flight
2.6774261419996037,0.013787001371383667,-0.002369105815887451,-0.06631248444318771,-0.020828798413276672,flight
2.686644057999729,0.01377837359905243,-0.0023450851440429688,-0.05918387696146965,-0.024692796170711517,flight
2.6906477880002058,0.013768941164016724,-0.002347290515899658,-0.07887063920497894,-0.05592554807662964,flight
2.6950622690001182,0.01378495991230011,-0.0024024248123168945,-0.08458428084850311,-0.06557702273130417,flight
2.699306919999799,0.013753250241279602,-0.0025472640991210938,-0.0671328753232956,-0.05534066632390022,flight
2.7036226439995517,0.013781636953353882,-0.0026865005493164062,-0.08327549695968628,-0.05708907172083855,flight
2.7099491030003264,0.01374882459640503,-0.0013619661331176758,-0.47000524401664734,-0.3317849934101105,flight
2.715170195999235,0.027365922927856445,0.020894348621368408,-0.09692811965942383,-0.163886159658432,flight
2.722688277999623,0.04912196099758148,0.04202622175216675,-1.2312616109848022,-1.5864911079406738,flight
2.7283935279992875,0.0686713457107544,0.06013357639312744,-1.4206844568252563,-1.4394176006317139,flight
2.7346862470003543,0.07228051126003265,0.06413388252258301,-1.8244024515151978,-1.596569299697876,flight
2.7420394990003842,0.072258859872818,0.05871635675430298,-0.7875240445137024,-1.031586766242981,flight
2.7541990949994215,0.08116757869720459,0.07138890027999878,-0.3304600417613983,-0.022538738325238228,compression
2.7581501959994057,0.08449278771877289,0.07502979040145874,0.009060777723789215,0.03272309899330139,compression
2.7628226349988836,0.08759637176990509,0.07919490337371826,0.030998794361948967,0.018892161548137665,compression
2.7678146029993513,0.09114742279052734,0.0830349326133728,-0.018656115978956223,-0.024210801348090172,compression
